input_smile,is_patented
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,True
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,True
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,True
C=CCCCCCCCCC(=O)O,True
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,True
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,True
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,True
Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1,True
OB1OCc2cc(F)ccc21,True
Cc1cc(C2CCCCC2)n(O)c(=O)c1,True
O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,True
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,True
CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(COC[C@@]4(C)[C@@H](OC[C@](C)(N)C(C)(C)C)[C@H](n4ncnc4-c4ccncc4)C5)C3=CC[C@@]2(C)[C@@H]1C(=O)O,True
CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,True
S=[Se]=S,True
C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,True
CN(CC=Cc1ccccc1)Cc1cccc2ccccc12,True
CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,True
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,True
C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,True
Nc1[nH]c(=O)ncc1F,True
CCCCCOc1ccc(-c2ccc(-c3ccc(/C(O)=N/[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)/N=C(/O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)/N=C(/O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)/N=C(/O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)/N=C\4O)cc3)cc2)cc1,False
Oc1c(I)cc(Cl)c2cccnc12,True
Clc1cc(Cl)c(OCC#CI)cc1Cl,True
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,True
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,True
Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,True
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,True
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,True
C=CCc1ccc(O)c(OC)c1,True
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,True
CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,True
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,True
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,True
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,True
N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,True
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True
Cc1ccc(C(C)C)c(O)c1,True
CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,True
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,True
OB(O)O,True
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,True
OCCOc1ccc(Cl)cc1,True
O=C(O)c1ccccc1O,True
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,True
CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1,True
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,True
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,True
Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,True
CCC(=O)O,True
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,True
Cn1sc(Cl)cc1=O,True
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,True
[Ag],True
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,True
CC(C)(O)C(Cl)(Cl)Cl,True
CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]3[C@H](O)[C@H]4N=C(N(C)C)O[C@H]4[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O,True
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True
[O-][n+]1ccccc1SSc1cccc[n+]1[O-],True
[B],True
Cc1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)c(C)c1,True
c1ccc(Cc2nnc3ccncc3n2)cc1,True
c1ccc(OCC2=Nc3cnccc3NN2)cc1,True
CCOC(=O)c1ccc(O)cc1,True
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,True
CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O,True
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,True
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)[C@@H]2CC[C@H]3C2)c1,True
O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,True
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,True
Oc1c(Cl)cc(Cl)c2cccnc12,True
C[C@@H](n1cnc2cc(Cl)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True
OCC(O)COc1ccc(Cl)cc1,True
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,True
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,True
