input_smile,is_patented,patent_cid,similar_smile_patent
B,False,,
Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1,True,3061576.0,
C#CCOCC1COC(Cn2ccnc2)(c2c(Cl)cccc2Cl)O1,False,,
C#CCOCC1COC(Cn2ccnc2)(c2cc(Cl)cc(Cl)c2)O1,False,,
C#CCOCC1COC(Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,False,,
C#CCOCC1COC(Cn2ccnc2)(c2cccc(Cl)c2Cl)O1,False,,
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,True,2880.0,
C=CCCCCCCCCC(=O)O,False,,
C=CCSSC=CCS(=O)CC=C,True,5386591.0,
C=CCSSSCC=C,True,16315.0,
C=CCc1c(O)cccc1OC,True,177764830.0,
C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1,True,394170.0,
C=CCc1cc(O)ccc1OC,True,177756412.0,
C=CCc1ccc(O)c(OC)c1,False,,
C=CCc1ccc(O)cc1OC,True,177778150.0,
C=CCc1cccc(OC)c1O,True,177777921.0,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)c(Cl)c4)O3)cc2)CC1,False,,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True,47576.0,
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4cccc(Cl)c4Cl)O3)cc2)CC1,True,137357959.0,
CC(=O)NC1C(O)OC(OC2C(CO)OC(O)C(OC3CCC4(O)OC(N(C)C)=NC34CO)C2NC(C)=O)C(O)C1CO,False,,
CC(=O)NC1C(OC2C(CO)OC(OC3C(O)C4N=C(N(C)C)OC4C3CO)C(NC(C)=O)C2O)OC(CO)C(O)C1O,True,119339.0,
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,True,174265469.0,
CC(=O)OCC(COC(C)=O)OC(C)=O,True,177784060.0,
CC(C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,True,165178976.0,
CC(C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)C(O)c1ccc(O)cn1,False,,
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,False,,
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,True,452261.0,
CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl,True,3016731.0,
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,True,37907.0,
CC(C)(C)C(=O)C(Oc1cccc(Cl)c1)n1ccnc1,True,13021679.0,
CC(C)(O)C(Cl)(Cl)Cl,True,5977.0,
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,False,,
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,True,36433.0,
CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O,True,3884.0,
CC(C)=CCC1=C2OC2(C(=O)CCCCN)C(=O)C(O)C1=O,False,,
CC(C)=CCC1=C2OC2(O)C(C(C)C)C(=O)C1=O,False,,
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,True,444679.0,
CC(C)CC1CNCCCCNCCNCCNCCNCCNCCNCCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CO)C(=O)NC(CC(=O)O)C(=O)N1,True,57307378.0,
CC(C)CCCC(C)C1CCC2C(=O)CC3C4CCC(O)CC4(O)C(C)CC3C21C,False,,
CC(C)CCCCCCCCC1NC(=O)C(=O)NC(=O)C(=O)NCCNCCNCC(CC(N)=O)NC(=O)C(=O)NC(CC(N)=O)C(CC(N)=O)NC(Cc2ccc(O)cc2)C1CC(N)=O,False,,
CC(C)CSSc1ncccn1,True,12763562.0,
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True,55283.0,
CC1(C)C=Cc2c(cc(O)c3c2OC(O)C(=O)C3c2ccccc2)O1,False,,
CC1(C)C=Cc2c(cc(O)c3c2OC(c2ccccc2)C(O)C3=O)O1,True,15426600.0,
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1,True,10079874.0,
CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CCOC(O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,True,11286230.0,
