input_smile,is_patented
,False
c1ccc(C(Cn2ccnc2)c2ccccc2)cc1,True
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True
c1ccc(C2(Cn3ccnc3)OCCO2)cc1,True
C=C(c1ccccc1OCc1ccccc1)n1ccnc1,True
,False
,False
,False
c1ccccc1,True
c1ccc(-c2ccccc2)cc1,True
c1ccccc1,True
c1ccccc1,True
c1ccccc1,True
c1ccccc1,True
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True
c1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True
C1=NC2C(CCC2OC2COCC(OC3CCCCO3)C2)O1,False
C1=NC2CC(OC3CCC(OC4CCCCO4)CO3)CC2O1,False
c1ccccc1,True
,False
O=C(Cc1ccc(-c2ccccc2)cc1)NCC(Cn1ccnc1)c1ccccc1,True
O=C(CCCc1ccccn1)NCC1CCC(n2ccc(=O)[nH]c2=O)O1,False
c1ccc(CCn2cncn2)cc1,True
c1ccc(CCn2cncn2)cc1,True
c1ccc(OCCn2ccnc2)cc1,True
c1ccc(OCn2ccnc2)cc1,True
c1ccc(OCn2ccnc2)cc1,True
,False
O=C1C=CCC(=O)C1,True
O=C1C=CC(=O)c2ccccc21,True
O=C1C=Cc2ccccc2C1=O,True
O=C1C=C2OC2C(=O)C1,False
O=C1C=C2OC2CC1=O,False
C1=C2CCCCC2C2CCC3CCCC3C2=C1,True
O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CCCNCCNCCNCCNCCNCCNCCCCNCCN1,True
O=C1CC2C3CCCCC3CCC2C2CCCC12,True
O=C1NCCNCCNCCNC(=O)C(=O)NC(=O)C(=O)NCCC(Cc2ccccc2)NCCNC1=O,True
c1cncnc1,True
c1ccc(C2(Cn3cncn3)OCC(COc3ccc(N4CCNCC4)cc3)O2)cc1,True
O=C1COc2c(ccc3c2C=CCO3)C1c1ccccc1,True
O=C1CC(c2ccccc2)Oc2c1ccc1c2C=CCO1,True
O=C1CCCCCCCC(=O)CCCC(=O)CC(=O)OCCC=CC=CC=CC=CC=CC=CC=CC(OC2CCCCO2)CCCCC1,False
O=C1CCCCCCCCCCCCOCCC(OC2CCCCO2)C=CC=CC=CC=CCCC=CC=CCCCCO1,False
O=C1CCCCCCCCCCCCOCCC(OC2CCCCO2)C=CC=CC=CC=CCCC=CC=CCCCCO1,False
O=C1C=CC=CC2OC2CCOC(=O)c2ccccc2C1,True
O=C1C=CC2OC2CCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CCCO1)O2,False
O=C1C=CCC2CCCC2C=CCCCCO1,False
O=C1CNCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCNCCNCCNCCNCCNCCN1,True
O=C1CCC=CCCCC(OC2CCCCO2)C=CCOCCC2CC=CC1O2,False
O=C1CC2CC=CC(C=CCCCC(OC3CCCCO3)C=CCCCCO1)O2,False
,False
O=C1COCCNCCNCCNCC(CNC(=O)c2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CN1,False
O=C1CCOC(CCC2CC=CC3C=CCCC32)C1,False
O=C1CCCC(CCC2=CC3=CCCCC3CC2)O1,False
O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,True
O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)COCCNCCNCCNCCN1,True
O=C(CNC(=O)CNC(=O)C1CCCN1C(=O)CNC(=O)C1CCCN1)NCC(=O)NC(C(=O)NCC1CNCCNCCNCCOCC(=O)NCC(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)N1)c1ccccc1,False
O=C1COCCNCCNCCNCC(CNC(=O)c2ccccc2)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CN1,False
O=C1CNCC(=O)NC(=O)CNC(CCc2ccccc2)CNCC(=O)NCC(=O)C(=O)CCN1,False
O=C1CCNC(=O)C(=O)NC(CCc2ccccc2)CNCCNC(=O)C(=O)NCCNCC1=O,False
O=C1CCNC(=O)CNC(=O)CNCC(=O)NC(=O)C(CCc2ccccc2)NCC(=O)NCC1,True
O=C1CCNC(=O)C(=O)NCC(=O)NCCNC(CCc2ccccc2)CNCC(=O)NC(=O)C1,False
O=C1CCNC(=O)CNC(=O)CNCCNC(CCc2ccccc2)C(=O)NC(=O)CNC(=O)C1,False
O=C1CCNCC(=O)NCC(=O)NC(CCc2ccccc2)C(=O)NCC(=O)NCC(=O)NCC1,True
O=C1CCNCC(=O)NC(=O)C(CCc2ccccc2)NC(=O)CNCC(=O)NCC(=O)NCC1,True
O=C1CC(=O)NCCNC(=O)CNC(=O)CNCCNC(CCc2ccccc2)C(=O)NC(=O)C1,False
O=C1CNCCNCCCC(=O)C(=O)NC(CCc2ccccc2)C(=O)NC(=O)CNCC(=O)N1,True
O=C1CCCNCC(=O)NCC(=O)NCC(=O)NC(CCc2ccccc2)C(=O)NCC(=O)NC1,True
O=C1CCCCNC(=O)CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CN1,True
O=C1CNCC(=O)NCC(CCc2ccccc2)NC(=O)C(=O)NC(=O)CCCCNC(=O)CN1,True
O=C1CNCCCCCNC(=O)C(=O)NC(=O)CNC(=O)C(=O)NC(CCc2ccccc2)CN1,True
O=C1CCCNCCNC(CCc2ccccc2)CNC(=O)C(=O)NCCNC(=O)C(=O)NC1=O,False
O=C1CCCCNC(=O)CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CN1,True
O=C1CNCC(=O)NC(=O)CNC(=O)C(=O)NCC(=O)NCCC(CCc2ccccc2)CCN1,False
,False
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)O4)cc3)CC2)cc1,True
O=C1CCCC=CC(=O)OCCCCCCC=CC=CCCCCC(=O)CCC1,False
,False
O=C1CNC(=O)N1,True
O=C1C=CC2OC2CCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CCCO1)O2,False
O=C1CN(Cc2cncn2Cc2ccccc2)CCN1c1ccccc1,True
O=C1CCCCCCCCCCCCCCC=CC=CC=CC=CC=CCCO1,True
c1ccc2c(c1)COC21CCC(OC2CCCOC2)CO1,True
c1ccc2c(c1)COC21OCCCC1OC1CCCOC1,False
c1ccc2c(c1)COC21OCCCC1OC1CCCCO1,False
O=C1CCCCNC(=O)CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CN1,True
O=C1CCCCCCCCCCCCC=CC=CC=CC=CC=CCCOCC1,False
O=C1CCCOC(=O)C(NC(=O)c2ccccc2)CO1,False
O=C1CCCCCCCCCCCCCCC=CC=CC=CC=CC=CCCO1,True
O=C1CCCCCCCCCCCCCCC=CC=CC=CC=CC=CC(OC2CCCCO2)CO1,False
O=C1CCCCCCCCCCCCCCC=CC=CC=CC=CC=CC(OC2CCCCO2)CO1,False
O=C1C=CC=CC=CC=CC=CCCCCCCCCCCCCCCCOC1,False
O=C1CCCCCCCCCCCC=CC=CC=CC=CC=CCCOCCC1,False
,False
O=C1CCOCCNCCNCCNCCNCCNCCNCCNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CN1,True
,False
O=C1CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CNC(=O)C(NC(=O)c2ccccc2)CCCN1,True
O=C1CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CNC(=O)C(NC(=O)c2ccccc2)CCCN1,True
O=C1CNC(=O)C(=O)NCC(CCc2ccccc2)NC(=O)C(=O)NCCCC(NC(=O)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)C(=O)NCCN1,True
O=C1CNC(=O)CNC(=O)C(CCc2ccccc2)NC(=O)CNC(=O)CNC(=O)C(NC(=O)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)CCCN1,True
O=C1CNCCNCC(NC(=O)c2cccc(-c3cccc(-c4ccccc4)c3)c2)CC(=O)C(=O)NCC(=O)NC(CCc2ccccc2)C(=O)NC(=O)CN1,False
O=C1CNCC(CCc2ccccc2)NCC(=O)C(=O)C(NC(=O)c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)C(=O)NCCNC(=O)C(=O)NC(CCCc2ccccc2)CN1,False
O=C1CC(NC(=O)c2cccc(-c3ccccc3-c3ccccc3)c2)CNC(CCc2ccccc2)CNC(=O)C(=O)NC(CCCc2ccccc2)CNCCNC(=O)C(=O)NC1=O,False
C=C(c1ccccc1)n1ccnc1,True
,False
c1cncnc1,True
c1ccc2sncc2c1,True
S=C(Nc1cccc2ccccc12)Sc1nc2ccccc2o1,True
,False
C(=Cc1ccccc1)CNCc1cccc2ccccc12,True
C1=CN(C2C=CCCO2)CN=C1,False
O=c1ncccn1C1C=CCCO1,False
O=c1ncccn1C1=CCOCC1,False
O=c1ncccn1C1=CCOCC1,False
O=c1ncccn1C1=CCOCC1,False
c1ccc(CNCc2cccc3ccccc23)cc1,True
O=C1Cc2cc3c(cc2CC1=O)-c1ccccc1C(OC1CC(OC2CCCCO2)CCO1)C3,False
O=C1c2ccccc2C(=O)c2cc3c(cc21)CC(OC1CC(OC2CCCCO2)CCO1)c1ccccc1-3,False
O=C1CCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCC(CCCCCC(=O)c3ccccc3)OC(=O)CCC1)O2,False
O=C1CCCCCCCCC2CCCC(O2)C(OC2CCCCO2)CC=CC=CC=CC=CC=CC=CC=CCC(CCCCCC(=O)c2ccccc2)OCC(=O)CCC1,False
c1csc(-c2cscn2)n1,True
c1csc(-c2cscn2)n1,True
O=C1CCCCCCCC23CCCC(CCC2)(O3)C(=O)C(OC2CCCCO2)C=CC=CC=CC=CC=CC=CC=CCCOCCCCCC1,False
O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,False
