input_smile,is_patented,patent_cid,similar_smile_patent
O=C1CC2C3CCCCC3CCC2C2CCCC12,True,6674.0,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C
c1ccoc1,False,,
O=c1ncccn1C1=CCOCC1,False,,
O=C1CCOC(CCC2CC=CC3C=CCCC32)C1,True,10042647.0,C1CCC(C1)C2(CC(=O)CC(=O)O2)CCC3=CC=CC4=CC=CC=C43
c1ccc(-c2cc[nH]c2)cc1,True,86398.0,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N
c1ccc(-c2cccnc2CC(Cn2cnnn2)c2ccccc2)cc1,True,141726824.0,C1CN(CCN1C2=CC=C(C=C2)N3C=C(N=N3)C(C(F)(F)F)OP(=O)(OCC4=CC=CC=C4)OCC5=CC=CC=C5)C6=CC=CC=C6C7=C(N=CC=C7)C(C(CN8C=NN=N8)(C9=C(C=C(C=C9)F)F)O)(F)F
c1ccc(Sc2cccc(COC(Cn3ccnc3)c3ccccc3)c2)cc1,False,,
O=c1ncccn1C1=CCOCC1,False,,
c1ccc(CCn2cncn2)cc1,True,3365.0,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
O=c1ncccn1C1=CCOCC1,False,,
c1ccccc1,False,,
O=C1CCCC=CC(=O)OCCCCCCC=CC=CCCCCC(=O)CCC1,True,78358496.0,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C
c1ccccc1,False,,
c1ccccc1,False,,
O=C1C=C2OC2C(=O)C1,False,,
c1ccccc1,False,,
c1ccccc1,False,,
c1ccoc1,False,,
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,True,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
O=C1COc2c(ccc3c2C=CCO3)C1c1ccccc1,False,,
O=C1C=CC=CCCCCC(CCCC2CCCCO2)=CC=CCCO1,False,,
c1ccc(-c2cccc(OCCCN3CCOCC3)c2)cc1,True,45485668.0,CN(C)C1=CC(=C(C=C1)C(=O)O)OC2=C(C(=C(C(=N2)OC3=CC=CC(=C3)C4=CC=CC(=C4)CN)F)N5CCOCC5)F
c1ccccc1,False,,
c1ccccc1,False,,
O=C1COCN1N=Cc1ccco1,True,173456345.0,C1C(=O)N(CO1)N=CC2=CC=C(O2)[N+](=O)[O-]
O=C1C=CCC(=O)C1,True,5646.0,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O
O=C1CCCC(CCC2=CC3=CCCCC3CC2)O1,True,118723405.0,CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C4=C(OC=C4)C5=CC6=CC=CC=C6C=C5)C)C(=O)OC
c1ccc(-c2ccnc(CC(Cn3cnnn3)c3ccccc3)c2)cc1,False,,
O=c1nccc[nH]1,True,136396011.0,C1=NC2=C3NC(=NC2=N1)O3
c1ccccc1,False,,
C1=CN(C2C=CCCO2)CN=C1,True,170012.0,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
O=C1C=C2OC2CC1=O,False,,
C1=NOCC1,False,,
O=C(COC1=CC=NCC1)NNc1ccccc1,True,87406314.0,C1=CC=C(C=C1)CON(C(=O)C2=CC3=C(O2)C=CN=C3)NC4=C(C=C(C=C4)I)F
,False,,
O=C(Nc1nc(Cc2cccc3ccccc23)cs1)C1CCCCC1,True,11613450.0,CC1(CC2(C3=CC=CC=C3C1C4=CC=CC=C42)[N+](=O)[O-])C(=O)NC5=NC(=CS5)CC6=CC=CC7=CC=CC=C76
