input_smile,is_patented
B,True
Brc1ccc(C(Cn2ccnc2)c2ccccc2)cc1,True
C#CCOCC1COC(Cn2ccnc2)(c2c(Cl)cccc2Cl)O1,True
C#CCOCC1COC(Cn2ccnc2)(c2cc(Cl)cc(Cl)c2)O1,True
C#CCOCC1COC(Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,True
C#CCOCC1COC(Cn2ccnc2)(c2cccc(Cl)c2Cl)O1,False
C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,True
C=CCCCCCCCCC(=O)O,True
C=CCSSC=CCS(=O)CC=C,True
C=CCSSSCC=C,True
C=CCc1c(O)cccc1OC,True
C=CCc1cc(Br)c(O)c(-c2cc(CC=C)cc(Br)c2O)c1,True
C=CCc1cc(O)ccc1OC,True
C=CCc1ccc(O)c(OC)c1,True
C=CCc1ccc(O)cc1OC,True
C=CCc1cccc(OC)c1O,True
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)c(Cl)c4)O3)cc2)CC1,True
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4cccc(Cl)c4Cl)O3)cc2)CC1,True
CC(=O)NC1C(O)OC(OC2C(CO)OC(O)C(OC3CCC4(O)OC(N(C)C)=NC34CO)C2NC(C)=O)C(O)C1CO,False
CC(=O)NC1C(OC2C(CO)OC(OC3C(O)C4N=C(N(C)C)OC4C3CO)C(NC(C)=O)C2O)OC(CO)C(O)C1O,True
CC(=O)Nc1cc(O)ccc1[As](=O)(O)O,True
CC(=O)OCC(COC(C)=O)OC(C)=O,True
CC(C(=O)N(C)CC(O)(Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)c(F)c1,True
CC(C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O)C(O)c1ccc(O)cn1,True
CC(C(O)(Cn1cncn1)c1c(F)cccc1F)S(C)(=O)=O,True
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,True
CC(C)(C)C(=O)C(Cn1ccnc1)Oc1ccc(Cl)cc1Cl,True
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,True
CC(C)(C)C(=O)C(Oc1cccc(Cl)c1)n1ccnc1,True
CC(C)(O)C(Cl)(Cl)Cl,True
CC(C)=CCC1=C(C(=O)CCCCN)C(O)(C(C)C)C(=O)C(O)C1=O,False
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,True
